TR0005170	[rxn29425]
TR0011735	[rxn07924]
TI3000147	[rxn18789]
TO3001800	[rxn18609]
TO3000701	[rxn08098]
TI3001002	[rxn18720]
TR1000139	[rxn05470]
TI3000032	[rxn09388]
TI3000031	[rxn34370]
TR0000724	[rxn28569]
TR0022637	[rxn29385]
TR0000709	[rxn08574]
TR0001919	[rxn29403]
TI3000258	[rxn18702]
TR0011602	[rxn28593]
TI3000016	[rxn05528]
TI3000015	[rxn05516]
TI3000014	[rxn05513]
TI3000013	[rxn18909]
TR0010516	[rxn05292]
TI3000017	[rxn08239]
TO3000814	[rxn08483]
TR1000029	[rxn05488]
TI3000022	[rxn05622]
TI3000141	[rxn09115]
TR0000832	[rxn08037]
TI3001018	[rxn18869]
TR0005156	[rxn29426]
TR1000359	[rxn08750]
TR1000117	[rxn05494]
TR0005158	[rxn29410]
TI3001020	[rxn18807]
TR2900228	[rxn08642]
TR0000808	[rxn34153]
TR0000806	[rxn33774]
TR0005266	[rxn29387]
TI3000035	[rxn08989]
TI3001003	[rxn18894]
TI3001004	[rxn18764]
TR0005262	[rxn33158]
TR1100186	[rxn30484]
TI3000283	[rxn18193]
TR1000129	[rxn05638]
TI3001013	[rxn18840]
TR0005267	[rxn29250]
TR1000009	[rxn05312]
TR0001902	[rxn29404]
TR0011657	[rxn31357]
TO3000755	[rxn05175]
TI3001039	[rxn18788]
TI3001043	[rxn18860]
TI3000073	[rxn08760]
TI3001045	[rxn18787]
TI3001046	[rxn18813]
TR0000522	[rxn29901]
TR0000521	[rxn33101]
TI3001040	[rxn18870]
TR0000642	[rxn29486]
TI3001041	[rxn18711]
TI3001042	[rxn18806]
TR1000054	[rxn05307]
TI3001025	[rxn18726]
TI3001028	[rxn18884]
TI3001034	[rxn18823]
TR0000751	[rxn08540]
TR0008358	[rxn29915]
TR0000871	[rxn31561]
TR1000066	[rxn05306]
TR1000065	[rxn05663]
TR0000875	[rxn33022]
TR0002932	[rxn29893]
TR0019001	[rxn28570]
TR0018033	[rxn29389]
TR1000069	[rxn05301]
TR0012840	[rxn28567]
TR1100033	[rxn08661]
TO3001821	[rxn18633]
TR1000039	[rxn08854]
TO3001819	[rxn18638]
TR0000863	[rxn29246]
TO3001818	[rxn18590]
TR0000740	[rxn29672]
TR1000033	[rxn05582]
TR1000035	[rxn05496]
TR0000626	[rxn29900]
TR1100029	[rxn08062]
TR1000281	[rxn05564]
TR0004098	[rxn05507]
TR0011746	[rxn33802]
TR0004099	[rxn09185]
TO3001810	[rxn18641]
TR1100023	[rxn05298]
TI3001049	[rxn18715]
TO3001803	[rxn18652]
TO3001802	[rxn18605]
TI3000083	[rxn18687]
TO3001801	[rxn18635]
TI3001051	[rxn18777]
TO3001806	[rxn18642]
TR0000971	[rxn08985]
TO3001805	[rxn05539]
TR0011691	[rxn38518]
TO3001088	[rxn05156]
TO3001087	[rxn05164]
TO3001086	[rxn05151]
TR0011574	[rxn08956]
TR0008288	[rxn29890]
TR0008287	[rxn29891]
TR0002862	[rxn29894]
TR0000680	[rxn30461]
TR0025981	[rxn29453]
TR0000565	[rxn32087]
TR0000448	[rxn08635]
TR0021149	[rxn46465]
TR0003718	[rxn29456]
TR0000205	[rxn05206]
TR0001536	[rxn29905]
TR0000209	[rxn09005]
TR0000208	[rxn08780]
TR0011685	[rxn09642]
TR0002611	[rxn08039]
TR0000311	[rxn08672]
TR0000552	[rxn29228]
TR0000794	[rxn09323]
TR0000438	[rxn08293]
TR0000315	[rxn29904]
TR0000314	[rxn08950]
TR0001524	[rxn29469]
TR0001407	[rxn29489]
TR0003705	[rxn29198]
TR0000306	[rxn09651]
TR0001757	[rxn08049]
TO3001051	[rxn18584]
TO3001050	[rxn05161]
TR0019028	[rxn34266]
TO3001054	[rxn18579]
TO3001053	[rxn05179]
TO3001052	[rxn05168]
TR0009225	[rxn39133]
TR0001743	[rxn33002]
TR0018050	[rxn29390]
TR0000412	[rxn08377]
TR0000654	[rxn08317]
TR0000532	[rxn09030]
TR0000653	[rxn08579]
TR0000531	[rxn05586]
TR0001627	[rxn29485]
TR0002835	[rxn29907]
TR0000417	[rxn05483]
TI3000904	[rxn18854]
TI3000907	[rxn18774]
TI3000906	[rxn18714]
TR0009058	[rxn29419]
TR0000001	[rxn05319]
TR0000242	[rxn10826]
TZ2900002	[rxn05209]
TZ2900004	[rxn29260]
TR0002546	[rxn38758]
TR0000368	[rxn29481]
TR1000339	[rxn12566]
TR0000367	[rxn08290]
TR0001693	[rxn32764]
TR0000246	[rxn08754]
TR0000366	[rxn29487]
TR0000244	[rxn08991]
TR0000009	[rxn09121]
TR0000249	[rxn09372]
TR0001217	[rxn09382]
TZ2900007	[rxn08233]
TR0000232	[rxn08051]
