dtdpglu	cpd00626
murein5px4px4p	cpd15515
orot5p	cpd00810
hmbil	cpd00755
23camp	cpd01570
2obut	cpd00094
3ig3p	cpd02210
1agpg141	cpd15320
dhor__S	cpd00282
1tdec7eg3p	cpd15330
gagicolipa	cpd15469
gdpfuc	cpd00272
xmp	cpd00497
lipa	cpd03587
cbasp	cpd00343
15dap	cpd01155
btnso	cpd15414
2ombzl	cpd15359
dt5hsu	cpd02508
cdg	cpd21481
3ooctACP	cpd11490
pmeACP	cpd21088
3cmp	cpd03454
1agpg140	cpd26429
cdp	cpd00096
glx	cpd00040
gly	cpd00033
2sephchc	cpd16335
acolipa	cpd15392
cpg180	cpd15436
eca2und	cpd15455
gmp	cpd00126
hexACP	cpd11472
ocACP	cpd11470
4hoxpacd	cpd02361
tmao	cpd00811
1agpg120	cpd26430
forcoa	cpd00592
fruur	cpd00672
prpncoa	cpd00663
ps181	cpd15558
ps180	cpd15557
crncoa	cpd15440
man6pglyc	cpd15496
lipidAds	cpd03002
glyc3p	cpd00080
xu5p__L	cpd02100
12ppd__R	cpd01861
f	cpd00552
h	cpd00067
histd	cpd00641
k	cpd00205
1agpe181	cpd29665
ch4	cpd01024
2oxpaccoa	cpd21214
arbt	cpd03696
1agpe180	cpd26433
thf	cpd29254
udpLa4fn	cpd14875
thm	cpd00305
12ppd__S	cpd19024
2aobut	cpd02211
xu5p__D	cpd00198
3php	cpd02069
asn__L	cpd00132
glyc2p	cpd01908
spmd	cpd00264
dhgly	cpd14545
1pyr5c	cpd02431
pdx5p	cpd00478
acACP	cpd11494
isetac	cpd03048
pa141	cpd15523
rdmbzi	cpd03423
unagamuf	cpd15582
pa140	cpd15522
2odecg3p	cpd15358
ncam	cpd00133
mptamp	cpd21090
pac	cpd00430
trdox	cpd11420
feoxam_un	cpd15463
pap	cpd00045
ade	cpd00128
23dhb	cpd00168
itp	cpd00068
metsox_S__L	cpd01914
ara5p	cpd00817
glyc__R	cpd00223
1agpg180	cpd26428
3amp	cpd00988
adn	cpd00182
adp	cpd00008
ctbt	cpd02543
crnDcoa	cpd15439
1agpg181	cpd25202
