TI3000147	[rxn18789]
TR1000139	[rxn05470]
TI3000032	[rxn09388]
TI3000031	[rxn34370]
TR1000130	[rxn05605]
TR1000132	[rxn05508]
TR0000727	[rxn31560]
TI3000016	[rxn05528]
TI3000015	[rxn05516]
TI3000014	[rxn05513]
TI3000013	[rxn18909]
TR0010516	[rxn05292]
TI3000017	[rxn08239]
TR1000029	[rxn05488]
TI3000022	[rxn05622]
TI3000141	[rxn09115]
TR1000386	[rxn05603]
TR1000023	[rxn05297]
TR1000359	[rxn08750]
TR1000117	[rxn05494]
TR0009879	[rxn33460]
TR1000119	[rxn05299]
TR0008304	[rxn08726]
TI3000296	[rxn08675]
TR2900228	[rxn08642]
TR1000232	[rxn05487]
TI3000035	[rxn08989]
TR1100186	[rxn30484]
TR1100184	[rxn10892]
TR1000129	[rxn05638]
TR1000009	[rxn05312]
TR0000811	[rxn09317]
TR1000246	[rxn28604]
TR1000051	[rxn05303]
TI3000073	[rxn08760]
TR0000521	[rxn33101]
TR1000053	[rxn09678]
TR1000176	[rxn05681]
TR1000054	[rxn05307]
TR0000408	[rxn09728]
TR0001977	[rxn33202]
TR1000060	[rxn09672]
TR0000870	[rxn08595]
TR1100041	[rxn34357]
TR1000064	[rxn05628]
TR1000185	[rxn12574]
TR1000066	[rxn05306]
TR1000065	[rxn05663]
TR1000186	[rxn05672]
TR0000516	[rxn07931]
TR1000069	[rxn05301]
TR0000637	[rxn08911]
TR1000039	[rxn08854]
TO3000725	[rxn05150]
TO3000727	[rxn08098]
TR1000151	[rxn05659]
TR1000396	[rxn05646]
TR1000033	[rxn05582]
TR1000274	[rxn05674]
TR1000035	[rxn05496]
TR1000156	[rxn05669]
TR1000036	[rxn05654]
TR1000161	[rxn05300]
TR1100029	[rxn08062]
TR1000281	[rxn05564]
TR0004098	[rxn05507]
TR0004099	[rxn09185]
TR1100023	[rxn05298]
TO3000840	[rxn08483]
TO3000836	[rxn05177]
TR1001017	[rxn05529]
TO3000839	[rxn08245]
TI3000089	[rxn08788]
TR0000971	[rxn08985]
TO3000837	[rxn05188]
TR1000041	[rxn05217]
TI6900002	[rxn13726]
TR0011574	[rxn08956]
TR0008288	[rxn29890]
TR0000441	[rxn09318]
TR0000680	[rxn30461]
