>OSTLU_14894
3.A.1.205.11 - Evalue: 5.14353E-43	[TI3000980, TI3001052, TI3000983]
3.A.1.204.23 - Evalue: 1.80891E-58	[TI3002569, TI3002565, TI3002686, TI3002566, TI3002567, TI3002688, TI3002689, TI3002572, TI3002693, TI3002694, TI3002695, TI3002574, TI3002696, TI3002575, TI3002570, TI3002691, TI3002679, TI3002559, TI3002554, TI3002675, TI3002796, TI3002555, TI3002797, TI3002798, TI3002556, TI3002678, TI3002557, TI3002799, TI3002561, TI3002562, TI3002683, TI3002563, TI3002684, TI3002685, TI3002564, TI3002680, TI3002681, TI3002560, TI3002587, TI3002466, TI3002467, TI3002468, TI3002469, TI3002594, TI3002473, TI3002595, TI3002596, TI3002475, TI3002597, TI3002476, TI3002470, TI3002591, TI3002471, TI3002592, TI3002593, TI3002472, TI3002459, TI3002455, TI3002697, TI3002456, TI3002577, TI3002578, TI3002579, TI3002458, TI3002583, TI3002462, TI3002585, TI3002464, TI3002586, TI3002461, TI3002582, TI3002808, TI3002809, TI3002804, TI3002805, TI3002806, TI3002807, TI3002800, TI3002801, TI3002802, TI3002803, TI3002488, TI3002496, TI3002497, TI3002498, TI3002491, TI3002492, TI3002130, TI3002493, TI3002494, TI3002599, TI3002236, TI3002479, TI3002485, TI3002486, TI3002487, TI3002480, TI3002483, TI3002709, TI3000408, TI3002826, TI3002706, TI3002707, TI3002828, TI3002708, TI3002701, TI3002822, TI3002702, TI3002823, TI3002703, TI3002824, TI3002704, TI3002825, TI3002820, TI3002700, TI3002821, TI3002819, TI3002815, TI3002816, TI3002817, TI3002818, TI3002811, TI3002812, TI3002814, TI3002499, TI3002810, TI3002142, TI3002727, TI3002606, TI3002848, TI3002849, TI3002607, TI3002728, TI3002729, TI3002608, TI3002723, TI3002602, TI3002724, TI3002603, TI3002845, TI3002604, TI3002725, TI3002846, TI3002605, TI3002847, TI3002840, TI3002841, TI3002721, TI3002842, TI3002600, TI3002601, TI3002843, TI3002722, TI3002850, TI3002837, TI3002716, TI3002838, TI3002717, TI3002839, TI3002719, TI3002712, TI3002833, TI3002834, TI3002835, TI3002714, TI3002836, TI3002715, TI3002830, TI3002831, TI3002710, TI3002711, TI3002628, TI3001539, TI3002507, TI3002508, TI3002629, TI3002509, TI3002624, TI3002745, TI3002503, TI3002866, TI3002504, TI3002746, TI3002625, TI3002626, TI3002505, TI3002747, TI3002506, TI3002869, TI3002748, TI3002627, TI3002620, TI3002862, TI3002741, TI3002621, TI3002863, TI3002501, TI3002864, TI3002743, TI3002622, TI3002865, TI3002623, TI3002744, TI3002870, TI3002871, TI3001540, TI3002872, TI3002630, TI3000318, TI3002859, TI3002617, TI3002618, TI3002739, TI3002855, TI3002613, TI3002735, TI3002614, TI3002736, TI3000432, TI3002615, TI3002857, TI3002737, TI3002858, TI3002616, TI3002730, TI3002610, TI3002853, TI3002611, TI3002732, TI3002612, TI3002854, TI3002733, TI3002860, TI3002740, TI3002646, TI3002767, TI3002768, TI3002647, TI3002527, TI3002648, TI3002642, TI3002763, TI3002522, TI3002764, TI3002643, TI3002765, TI3002644, TI3002766, TI3002524, TI3002645, TI3002770, TI3002771, TI3002772, TI3002530, TI3002531, TI3002773, TI3002652, TI3002518, TI3002639, TI3000456, TI3002756, TI3002515, TI3002636, TI3002757, TI3002516, TI3002758, TI3002638, TI3002631, TI3002873, TI3002752, TI3002511, TI3002512, TI3002633, TI3002513, TI3002634, TI3002760, TI3002761, TI3002640, TI3002762, TI3002520, TI3002641, TI3002547, TI3002789, TI3002669, TI3002785, TI3002543, TI3002664, TI3002786, TI3002544, TI3002666, TI3002788, TI3002550, TI3002792, TI3002672, TI3002793, TI3002794, TI3002552, TI3002553, TI3002795, TI3002790, TI3002670, TI3002791, TI3002536, TI3002657, TI3002778, TI3002779, TI3002537, TI3002658, TI3002538, TI3002532, TI3002774, TI3002653, TI3002775, TI3002776, TI3002534, TI3000359, TI3002655, TI3002777, TI3002656, TI3002781, TI3002660, TI3002540, TI3002662, TI3002541, TI3002783, TI3002784, TI3002663, TI3002542, TI3002780]
3.A.1.205.13 - Evalue: 3.09274E-38	[TO3000350, TO3000471, TO3000472, TO3000392, TO3000431, TO3000398, TO3000434, TO3000624, TO3000548, TO3000504, TO3000585, TO3000387, TO3000583, TO3000622, TO3000502, TO3000422, TO3000466, TO3000543, TO3000500, TO3000544, TO3000467, TO3000621, TO3000588, TO3000418, TO3000536, TO3000570, TO3000450, TO3000451, TO3000457, TO3000579, TO3000499, TO3000528, TO3000605, TO3000404, TO3000526, TO3000408, TO3000483, TO3000564, TO3000685, TO3000520, TO3000487, TO3000440, TO3000682, TO3000444, TO3000565, TO3000642, TO3000400, TO3000445, TO3000514, TO3000437, TO3000515, TO3000639, TO3000519]
3.A.1.205.10 - Evalue: 2.22412E-42	[TI3000111, TI3000110, TI3000043, TI3000115, TI3000114, TI3000113, TI3000112, TI3000117, TI3000116]
3.A.1.204.18 - Evalue: 8.28449E-25	[TI3001549, TO3001997]
3.A.1.204.15 - Evalue: 5.51503E-61	[TI3000145]
3.A.1.205.9 - Evalue: 1.24915E-50	[TI3002135, TI3002124, TI3002140, TI3002130, TI3000043, TI3002142, TI3001942, TI3000422, TI3000015, TI3000696, TI3002136, TI3002137]
3.A.1.205.8 - Evalue: 1.34388E-35	[TO3000471, TO3000350, TO3000472, TO3000392, TO3000398, TO3000431, TO3000434, TO3000624, TO3000504, TO3000548, TO3000780, TO3000387, TO3000783, TO3000585, TO3000784, TO3000583, TO3000781, TO3000782, TO3000622, TO3000787, TO3000502, TO3000785, TO3000466, TO3000422, TO3000543, TO3000588, TO3000467, TO3000786, TO3000544, TO3000621, TO3000500, TO3000418, TO3000536, TO3000570, TO3000450, TO3000451, TO3000457, TO3000579, TO3000499, TO3000605, TO3000528, TO3000404, TO3000526, TO3000408, TO3000483, TO3000520, TO3000564, TO3000685, TO3000487, TO3000682, TO3000440, TO3000642, TO3000565, TO3000444, TO3000400, TO3000445, TO3000514, TO3000437, TO3000515, TO3000639, TO3000519]
3.A.1.205.7 - Evalue: 9.47504E-39	[TO3000822, TI3000155, TI3000154, TI3000153, TO3000819, TI3000156, TO3000820, TO3000821]
3.A.1.204.7 - Evalue: 1.66375E-53	[TI3000155, TI3000111, TI3000110, TI3000115, TI3000114, TI3000113, TI3000112, TI3000117, TI3000116]
3.A.1.204.6 - Evalue: 2.61619E-66	[TI3001395, TI3000681, TI3000278, TI3000046, TI3001400]
3.A.1.205.5 - Evalue: 3.8971E-35	[TO3000823, TI3000157]
3.A.1.204.5 - Evalue: 1.15683E-53	[TI3001395, TI3001662, TI3000681, TI3000278, TI3000046, TI3001400]
3.A.1.205.4 - Evalue: 5.97128E-34	[TI3001319, TI3001117, TI3000068, TI3001278, TI3001113, TI3001236, TI3001313, TI3001120, TI3001087, TI3000272, TI3001286, TI3000270, TI3001320, TI3001089, TI3001122, TI3000071, TI3000154, TI3000275, TI3001360, TI3000274, TI3000697, TI3001349, TI3001223, TI3001267, TI3001303, TI3002122, TI3001079, TI3001139, TI3001339, TI3000288, TI3001219, TI3001256, TI3000689, TI3001340, TI3000294, TI3000690, TI3000293, TI3001221, TI3001067, TI3001343, TI3001060, TI3000279, TI3001129, TI3000278, TI3001328, TI3000157, TI3000277, TI3001245, TI3001168, TI3001322, TI3001296, TI3000283, TI3001175, TI3000282, TI3001254, TI3001332, TI3000280, TI3000287, TI3001094, TI3001293, TI3000286, TI3001295, TI3001290, TI3001093]
3.A.1.205.23 - Evalue: 2.46242E-42	[TO3002292, TO3002280, TO3002287, TO3002110, TO3002286, TO3002285, TO3002274, TO3002273, TI3001942, TI3000696, TO3001155, TI3002136, TI3002137, TI3001650, TI3002124, TI3002135, TI3002140, TI3002130, TI3002142, TO3002290]
3.A.1.205.22 - Evalue: 1.07243E-44	[TO3000780, TO3000783, TI3000115, TO3000784, TI3000114, TO3000781, TI3000113, TO3000782, TI3000112, TO3000787, TO3000785, TI3000117, TO3000786, TI3000116, TI3000111, TI3000110]
3.A.1.205.2 - Evalue: 1.87068E-36	[TI3001238, TI3001118, TI3001119, TI3001113, TI3001288, TI3001167, TI3000111, TI3000110, TI3001086, TI3001308, TI3001348, TI3001305, TI3001108, TI3001102, TI3001069, TI3001105, TI3001351, TI3001077, TI3001155, TI3001232, TI3001233, TI3001112, TI3001194, TI3001073, TI3001272, TI3001151, TI3001196, TI3001139, TI3001216, TI3000046, TI3001212, TI3001135, TI3001187, TI3001067, TI3001188, TI3001061, TI3001182, TI3001183, TI3001140, TI3000115, TI3000114, TI3000113, TI3000112, TI3001168, TI3001289, TI3001125, TI3001246, TI3000117, TI3001204, TI3000116, TI3001252, TI3001099, TI3001056, TI3001255, TI3001134, TI3001211, TI3001172, TI3001250, TI3001090, TI3001291, TI3001170]
3.A.1.204.2 - Evalue: 2.98588E-67	[TO3001161, TO3001160, TO3000350, TO3001162, TI3000148, TO3000696, TI3000147, TO3000773, TO3000572, TI3000145, TI3000046, TI3000689, TI3000690, TI3000694, TI3000693, TI3000692, TI3000296, TI3000691, TO3001154, TO3001158, TI3000697, TO3001157, TO3001156, TI3000696, TI3000695, TO3001155, TO3001159, TO3000758, TO3000638, TI3000141]
3.A.1.205.25 - Evalue: 6.83827E-48	[TI3001917, TI3001919, TI3001914, TI3001915, TI3001916, TI3001910, TI3001911, TI3001912, TI3001484, TI3001485, TI3001907, TI3001908, TI3001903, TI3001905, TI3001900, TI3001818, TI3001939, TI3001815, TI3001816, TI3001817, TI3001938, TI3001811, TI3001812, TI3001934, TI3001807, TI3001808, TI3001803, TI3001804, TI3001805, TI3001926, TI3001806, TI3001800, TI3001922, TI3001923, TI3001487, TI3001488, TI3001489, TI3001491, TI3001715, TI3001716, TI3001958, TI3001959, TI3001711, TI3001953, TI3001832, TI3001712, TI3001954, TI3001955, TI3001713, TI3001834, TI3001714, TI3001956, TI3002004, TI3001951, TI3001831, TI3001710, TI3001952, TI3002007, TI3002012, TI3001708, TI3001829, TI3001946, TI3001826, TI3001705, TI3001947, TI3001948, TI3001827, TI3001828, TI3001949, TI3001700, TI3001942, TI3001943, TI3001823, TI3001824, TI3001945, TI3001820, TI3001941, TI3002000, TI3002002, TI3002003, TI3001737, TI3001979, TI3001858, TI3001738, TI3001854, TI3001975, TI3001733, TI3001976, TI3001855, TI3001734, TI3001735, TI3001736, TI3001857, TI3001850, TI3002027, TI3001851, TI3002028, TI3001852, TI3001731, TI3001732, TI3001853, TI3002033, TI3002034, TI3001980, TI3002036, TI3001981, TI3001860, TI3002030, TI3002031, TI3002032, TI3001847, TI3001969, TI3001727, TI3001729, TI3001964, TI3001722, TI3001843, TI3002019, TI3001723, TI3001844, TI3001845, TI3001725, TI3001846, TI3001960, TI3001961, TI3001720, TI3002017, TI3001841, TI3001842, TI3002018, TI3001721, TI3002022, TI3002025, TI3002021, TI3001759, TI3001997, TI3001755, TI3001876, TI3001877, TI3001998, TI3001999, TI3001757, TI3001758, TI3001993, TI3002048, TI3001873, TI3001752, TI3001994, TI3002049, TI3001995, TI3001753, TI3001875, TI3001996, TI3001880, TI3001760, TI3001882, TI3001761, TI3002052, TI3002050, TI3001748, TI3001986, TI3001744, TI3001865, TI3001745, TI3001746, TI3001988, TI3001867, TI3001989, TI3001740, TI3001982, TI3001861, TI3001983, TI3001741, TI3002038, TI3001862, TI3001863, TI3002039, TI3001742, TI3001743, TI3001985, TI3001990, TI3001870, TI3002046, TI3001750, TI3002047, TI3002043, TI3001777, TI3001778, TI3001899, TI3001779, TI3001773, TI3001894, TI3001895, TI3001775, TI3001897, TI3001413, TI3001781, TI3001782, TI3001887, TI3001766, TI3001767, TI3001888, TI3001768, TI3001769, TI3001883, TI3001762, TI3001884, TI3000437, TI3001885, TI3001886, TI3001765, TI3001890, TI3001770, TI3001771, TI3001650, TI3001772, TI3001893, TI3001679, TI3001795, TI3001433, TI3001675, TI3001796, TI3001435, TI3001798, TI3001681, TI3001440, TI3001683, TI3001684, TI3001784, TI3000457, TI3001424, TI3001787, TI3001671, TI3001793, TI3001673, TI3001794, TI3001698, TI3001699, TI3001460, TI3001447, TI3001689, TI3001685, TI3001686, TI3001687, TI3001688, TI3001693, TI3001694, TI3001690, TI3001691]
3.A.1.205.1 - Evalue: 7.71909E-36	[TI3000111, TI3000110, TI3000115, TI3000114, TI3000113, TI3000112, TI3000117, TI3000116]
3.A.1.204.1 - Evalue: 1.11807E-80	[TI3001549, TO3001997]
3.A.1.204.12 - Evalue: 1.20686E-61	[TI3000046]
3.A.1.205.21 - Evalue: 7.09396E-45	[TI3001650]
3.A.1.205.20 - Evalue: 2.98662E-43	[TI3001650, TO3002110]
3.A.1.205.15 - Evalue: 1.74954E-38	[TO3000471, TO3000350, TO3000472, TO3000392, TO3000398, TO3000431, TO3000434, TO3000624, TO3000548, TO3000504, TO3000387, TO3000583, TO3000622, TO3000502, TO3000543, TO3000466, TO3000422, TO3000500, TO3000588, TO3000544, TO3000621, TO3000467, TO3000418, TO3000536, TO3000570, TO3000450, TO3000451, TO3000457, TO3000579, TO3000499, TO3000528, TO3000605, TO3000404, TO3000526, TO3000408, TO3000483, TO3000564, TO3000520, TO3000685, TO3000487, TO3000682, TO3000440, TO3000444, TO3000642, TO3000400, TO3000445, TO3000437, TO3000514, TO3000515, TO3000639]
3.A.1.205.18 - Evalue: 2.2676E-48	[TO3002250, TO3002252, TO3002251, TO3002258, TO3002257, TO3002256, TO3002255, TO3002239, TI3002149, TI3002154, TI3002155, TI3002156, TI3002157, TI3002150, TI3002172, TI3002173, TI3002151, TI3002152, TI3002174, TI3002171, TO3002261, TO3002242, TO3002264, TO3002241, TO3002263, TO3002240, TO3002262, TO3002247, TO3002246, TO3002245, TO3002244, TI3002158, TI3002159, TO3002249, TO3002248, TI3002165, TI3002166, TI3002167, TI3002168, TI3002161, TI3002162, TI3002160]

>OSTLU_14777
3.A.3.2.33 - Evalue: 9.66939E-73	[TZ3100001]
3.A.3.2.32 - Evalue: 0.0	[TZ3100001]
3.A.3.2.30 - Evalue: 1.56699E-81	[TZ3100001]
3.A.3.10.16 - Evalue: 5.04926E-21	[TZ3100017]
3.A.3.10.13 - Evalue: 2.45505E-25	[TZ3101377]
3.A.3.24.2 - Evalue: 3.39444E-78	[TZ3100012]
3.A.3.10.10 - Evalue: 1.01565E-21	[TZ3100017]
3.A.3.2.29 - Evalue: 5.80128E-152	[TZ3100001]
3.A.3.2.28 - Evalue: 2.04305E-162	[TZ2900010, TI2000030]
3.A.3.2.27 - Evalue: 2.97438E-87	[TZ3100001]
3.A.3.1.13 - Evalue: 3.02145E-107	[TZ3100003]
3.A.3.2.26 - Evalue: 1.9476E-79	[TZ3101377]
3.A.3.1.14 - Evalue: 3.49135E-89	[TZ3100003]
3.A.3.2.25 - Evalue: 2.83921E-73	[TZ3100001]
3.A.3.2.24 - Evalue: 5.77591E-107	[TZ3100001]
3.A.3.1.11 - Evalue: 1.40084E-106	[TZ3100003]
3.A.3.1.12 - Evalue: 1.06552E-73	[TZ3100003]
3.A.3.2.44 - Evalue: 1.96282E-72	[TZ3100001]
3.A.3.2.43 - Evalue: 0.0	[TZ3107045]
3.A.3.1.1 - Evalue: 2.61724E-105	[TZ3100003]
3.A.3.2.42 - Evalue: 1.51818E-93	[TZ3100001, TI3000014, TO3000753]
3.A.3.2.41 - Evalue: 3.24272E-157	[TZ3101342]
3.A.3.1.3 - Evalue: 3.25105E-95	[TZ3101342]
3.A.3.1.4 - Evalue: 7.21785E-110	[TZ3100030, TZ3100031]
3.A.3.2.40 - Evalue: 1.75671E-70	[TZ3100001]
3.A.3.1.5 - Evalue: 5.51542E-113	[TZ3100003, TO3000753]
3.A.3.1.6 - Evalue: 2.59324E-102	[TZ3100003]
3.A.3.1.7 - Evalue: 1.89141E-105	[TZ3100002]
3.A.3.1.8 - Evalue: 4.04978E-133	[TZ3100003]
3.A.3.3.6 - Evalue: 5.62888E-64	[TI3000010]
3.A.3.9.1 - Evalue: 7.35003E-106	[TI3000022, TZ3101374]
3.A.3.9.2 - Evalue: 1.21811E-125	[TZ3101427]
3.A.3.9.3 - Evalue: 2.33718E-118	[TZ3101497]
3.A.3.9.4 - Evalue: 9.7821E-110	[TZ3101342]
3.A.3.9.5 - Evalue: 3.21189E-134	[TZ3101497]
3.A.3.9.6 - Evalue: 1.40088E-127	[TZ3101497]
3.A.3.10.8 - Evalue: 4.74453E-38	[TZ3100017, TI3000015]
3.A.3.10.6 - Evalue: 2.07545E-24	[TZ3100017]
3.A.3.10.7 - Evalue: 2.65357E-29	[TZ3100017]
3.A.3.2.39 - Evalue: 1.77812E-88	[TZ3100001]
3.A.3.2.38 - Evalue: 1.35262E-72	[TZ3100001]
3.A.3.2.37 - Evalue: 0.0	[TZ3100001]
3.A.3.2.36 - Evalue: 0.0	[TZ3100001]
3.A.3.2.35 - Evalue: 4.09584E-102	[TZ3100029]
3.A.3.2.34 - Evalue: 1.12434E-145	[TZ3100029]
3.A.3.2.11 - Evalue: 2.78137E-91	[TI3002452, TZ3100001, TI3000014, TO3000753]
3.A.3.2.10 - Evalue: 1.46568E-97	[TZ3100001, TO3000753]
3.A.3.2.22 - Evalue: 9.31234E-84	[TZ3100001]
3.A.3.2.21 - Evalue: 0.0	[TZ3100001]
3.A.3.1.10 - Evalue: 4.83965E-137	[TZ3100003]
3.A.3.2.1 - Evalue: 2.34634E-78	[TZ3100029]
3.A.3.2.20 - Evalue: 5.17557E-27	[TZ3100001]
3.A.3.2.3 - Evalue: 3.05621E-142	[TI3000027, TZ3101375, TZ3101376, TI3000014, TZ3101377]
3.A.3.2.4 - Evalue: 3.69006E-149	[TZ3100001]
3.A.3.2.5 - Evalue: 7.97981E-157	[TZ3101377]
3.A.3.2.6 - Evalue: 2.31542E-134	[TZ3101377]
3.A.3.2.7 - Evalue: 0.0	[TZ2900010]
3.A.3.2.8 - Evalue: 3.65044E-99	[TZ3100029]
3.A.3.8.2 - Evalue: 3.38543E-16	[TO3000372, TO3001143, TO3001132, TO3001121, TO3001142, TO3001131, TO3001136, TO3001135, TO3001124, TO3001123, TO3000375, TO3001129, TO3001128, TO3001127, TO3001137, TO3001126, TO3001119]
3.A.3.2.9 - Evalue: 1.25971E-134	[TZ3101377]
3.A.3.8.6 - Evalue: 7.53216E-16	[TZ3100049, TI3000068, TI3000288, TI3000272, TI3000294, TI3000293, TI3000270, TI3000071, TI3000275, TI3000274, TZ3100045, TZ3100046, TZ3100040, TZ3100041, TZ3100042, TZ3100043, TZ3100037, TZ3100059, TZ3100038, TI3000279, TI3000278, TI3000277, TI3000283, TI3000282, TZ3100050, TI3000280, TI3000287, TI3000286, TZ3100033, TZ3100057, TZ3100035, TZ3100058, TZ3100051, TZ3100052]
3.A.3.2.19 - Evalue: 0.0	[TO3001153, TZ3100028, TI3000014, TO3000753]
3.A.3.2.18 - Evalue: 2.23703E-65	[TZ3100001]
3.A.3.2.17 - Evalue: 2.55123E-86	[TZ3100001]
3.A.3.2.16 - Evalue: 1.21442E-137	[TZ3100028]
3.A.3.30.2 - Evalue: 4.32586E-82	[TO3000753]
3.A.3.2.15 - Evalue: 2.77895E-84	[TZ3100001]
3.A.3.2.14 - Evalue: 3.2091E-94	[TZ3100001, TO3000753]
3.A.3.2.13 - Evalue: 0.0	[TZ3100028, TI3000014, TO3000753]
3.A.3.2.12 - Evalue: 1.25465E-91	[TZ3100001, TI3000014, TO3000753]

>OSTLU_35116
3.A.16.1.5 - Evalue: 8.46719E-58	[TI0023943, TI0023944, TI0000740]

>OSTLU_26758
4.C.1.1.4 - Evalue: 3.78101E-36	[TZ5900012, TZ5900001, TZ5900023, TZ5900021, TZ5900032, TZ5900030, TZ5900009, TZ5900008, TZ5900007, TZ5900018, TZ5900029, TZ5900017, TZ5900016, TZ5900005, TZ5900026, TZ5900004, TZ5900003, TZ5900036, TZ5900002]
4.C.1.1.14 - Evalue: 1.09617E-139	[TZ5900023, TZ5900012, TZ5900001, TZ5900021, TZ5900032, TZ5900030, TZ5900009, TZ5900008, TZ5900007, TZ5900029, TZ5900018, TZ5900017, TZ5900016, TZ5900005, TZ5900004, TZ5900026, TZ5900003, TZ5900036, TZ5900002]
4.C.1.1.7 - Evalue: 4.56929E-28	[TZ5900001, TZ5900023, TZ5900012, TZ5900032, TZ5900021, TZ5900030, TZ5900009, TZ5900008, TZ5900018, TZ5900007, TZ5900029, TZ5900017, TZ5900005, TZ5900016, TZ5900026, TZ5900004, TZ5900003, TZ5900036, TZ5900002]

>OSTLU_33175
3.A.5.6.1 - Evalue: 7.2181E-18	[TR3000001, TR3000000, TR3000003]
3.A.5.2.1 - Evalue: 2.37845E-23	[TR3000001, TR3000000, TR3000003]
3.A.5.1.3 - Evalue: 7.05233E-26	[TR3000001, TR3000000, TR3000003]
3.A.5.2.2 - Evalue: 1.68523E-20	[TR3000001, TR3000000, TR3000003]
3.A.5.3.1 - Evalue: 1.00519E-15	[TR3000001, TR3000000, TR3000003]
3.A.5.4.1 - Evalue: 1.95743E-29	[TR3000001, TR3000000, TR3000003]
3.A.5.1.4 - Evalue: 5.37381E-23	[TR3000001, TR3000000, TR3000003]
3.A.5.4.2 - Evalue: 1.12391E-26	[TR3000001, TR3000000, TR3000003]
3.A.5.5.1 - Evalue: 7.18213E-20	[TR3000001, TR3000000, TR3000003]
3.A.5.1.1 - Evalue: 9.93525E-20	[TR3000001, TR3000000, TR3000003]

>OSTLU_9923
1.A.87.4.2 - Evalue: 5.66485E-25	[TO0000063]
1.A.87.4.1 - Evalue: 3.667E-21	[TO0000063]

>OSTLU_3024
3.A.20.1.1 - Evalue: 5.92243E-10	[TO0023944, TO0023943, TO0000740]
3.A.20.1.2 - Evalue: 1.12205E-11	[TO0023944, TO0023943, TO0000740]

>OSTLU_27841
2.A.6.6.7 - Evalue: 2.1681E-62	[TI2000160]
2.A.6.6.8 - Evalue: 7.26759E-14	[TI2000160]
2.A.6.6.12 - Evalue: 1.1704E-53	[TI2000160]
2.A.6.6.1 - Evalue: 6.72102E-61	[TI2000613, TI2020939, TI2014231, TI2015947, TI2012801, TI2009557, TI2012642, TI2012785, TI2012864, TI2012347, TI2011765, TI2000167, TI2000431, TI2012849, TI2000160, TI2014707]

>OSTLU_50753
2.A.53.5.3 - Evalue: 1.20814E-86	[TI1000242, TI1000048]

>OSTLU_26876
3.A.1.27.1 - Evalue: 1.08198E-26	[TO3002143]
3.A.1.27.3 - Evalue: 5.69576E-21	[TO3001143, TO3000372, TO3001121, TO3001142, TO3001124, TO3001123, TO3000375, TI3000288, TI3000068, TO3001129, TO3001128, TO3001127, TO3001126, TI3000272, TI3000294, TI3000293, TI3000270, TI3000071, TO3001119, TI3000275, TI3000274, TO3001132, TO3001131, TO3001136, TI3000279, TO3001135, TI3000278, TI3000277, TO3001137, TI3000283, TI3000282, TI3000280, TI3000287, TI3000286]
3.A.1.27.2 - Evalue: 3.03255E-98	[TO3000761]
3.A.1.27.4 - Evalue: 2.13718E-9	[TO3000350]

>OSTLU_26513
2.A.1.2.95 - Evalue: 3.40056E-16	[TI2000680]

>OSTLU_27967
2.A.66.1.17 - Evalue: 3.34585E-13	[TI2104203, TI2104468, TI2104694, TI2104486, TI2101166, TI2104827, TI2104739, TI2104409]
2.A.66.1.28 - Evalue: 5.23463E-11	[TI2104203, TI2104468, TI2104694, TI2101166, TI2104486, TI2104827, TI2104409, TI2104739]
2.A.66.1.18 - Evalue: 3.56308E-26	[TI2104203, TI2104468, TI2104682, TI2104694, TI2101166, TI2104486, TI2104827, TI2104739, TI2104409]
2.A.66.1.19 - Evalue: 8.22633E-23	[TI2100554, TI2103690]
2.A.66.1.21 - Evalue: 5.49119E-13	[TI2101151, TI2104088, TZ2900011, TI2101310, TI2108062, TI2103173]
2.A.66.1.12 - Evalue: 5.17416E-17	[TI2000008, TI2113267, TI2108038, TZ2900011]
2.A.66.1.1 - Evalue: 1.00362E-22	[TI2104088, TI2111645, TI2100328]
2.A.66.1.14 - Evalue: 4.99911E-27	[TI2104246, TI2119060, TI2104787, TI2104227, TI2100585, TI2104682, TI2103973, TI2104585, TI2112368, TI2108168, TI2112548, TI2104182, TI2104878, TI2100679, TI2119240, TI2104411, TI2104254, TI2110399, TI2104230, TI2108035, TI2105082, TI2101995, TI2103976, TI2103975, TI2102869]
2.A.66.1.15 - Evalue: 1.4408E-27	[TI2119060, TI2104682, TZ2900011, TI2108168, TI2104340, TI2104190, TI2103937]
2.A.66.1.16 - Evalue: 7.86175E-30	[TI2123944, TI2123943, TI2100740, TZ2900011]
2.A.66.1.38 - Evalue: 1.49272E-28	[TI2104203, TI2104468, TI2104694, TI2100058, TI2101166, TI2104486, TI2104827, TI2104409, TI2104739]
2.A.66.1.5 - Evalue: 2.5764E-10	[TI2108093]
