OSTLU_2522 	oo6384 		oo6384		AAA 		343 	ADP:ATP antiporter 		2.A.12 		X
OSTLU_14597 	oo6384 		oo6384		AAAP 		383 	amino acid 		2.A.18 		X
OSTLU_25632 	oo6384 		oo6384		AAAP 		384 	amino acid 		2.A.18 		X
OSTLU_27866 	oo6384 		oo6384		AAAP 		385 	amino acid 		2.A.18 		X
OSTLU_28839 	oo6384 		oo6384		AAAP 		386 	amino acid 		2.A.18 		X
OSTLU_29082 	oo6384 		oo6384		AAAP 		387 	amino acid 		2.A.18 		X
OSTLU_30899 	oo6384 		oo6384		AAAP 		388 	amino acid 		2.A.18 		X
OSTLU_45915 	oo6384 		oo6384		AAAP 		390 	amino acid 		2.A.18 		X
OSTLU_10028 	oo6384 		oo6384		ABC 	membrane 	667 	multidrug 	* 	3.A.1 		X
OSTLU_10071 	oo6384 		oo6384		ABC 	binding 	668 	phosphonate 		3.A.1 		X
OSTLU_10147 	oo6384 		oo6384		ABC 	membrane 	669 	unknown substrate 		3.A.1 		X
OSTLU_1075 	oo6384 		oo6384		ABC 	binding 	670 	cobalt 		3.A.1 		X
OSTLU_13171 	oo6384 		oo6384		ABC 	binding 	673 	lipid A 		3.A.1 		X
OSTLU_1441 	oo6384 		oo6384		ABC 	ABCG 	674 	White pigment protein homolog (ABCG) 		3.A.1 		X
OSTLU_1450 	oo6384 		oo6384		ABC 	ABCG 	675 	White pigment protein homolog (ABCG) 		3.A.1 		X
OSTLU_14765 	oo6384 		oo6384		ABC 	ABC 	676 	unknown substrate 		3.A.1 		X
OSTLU_14894 	oo6384 		oo6384		ABC 	ABCG 	677 	White pigment protein homolog (ABCG) 		3.A.1 		X
OSTLU_16322 	oo6384 		oo6384		ABC 	membrane 	681 	unknown substrate 		3.A.1 		X
OSTLU_16468 	oo6384 		oo6384		ABC 	binding 	682 	sulfate 		3.A.1 		X
OSTLU_26876 	oo6384 		oo6384		ABC 	membrane 	687 	toluene tolerance 		3.A.1 		X
OSTLU_27272 	oo6384 		oo6384		ABC 	membrane 	689 	multidrug 	* 	3.A.1 		X
OSTLU_28311 	oo6384 		oo6384		ABC 	binding protein 	690 	spermidine/putrescine 		3.A.1 		X
OSTLU_28662 	oo6384 		oo6384		ABC 	binding 	691 	lipid A 		3.A.1 		X
OSTLU_29639 	oo6384 		oo6384		ABC 	membrane 	693 	multidrug 	* 	3.A.1 		X
OSTLU_30493 	oo6384 		oo6384		ABC 	binding 	695 	cobalt 		3.A.1 		X
OSTLU_32172 	oo6384 		oo6384		ABC 	binding protein 	699 	phosphate 		3.A.1 		X
OSTLU_35279 	oo6384 		oo6384		ABC 	ABC 	701 	unknown substrate 		3.A.1 		X
OSTLU_35308 	oo6384 		oo6384		ABC 		702 	multidrug (ABCG/PDR-type) 		3.A.1 		X
OSTLU_35503 	oo6384 		oo6384		ABC 	membrane 	703 	multidrug 	* 	3.A.1 		X
OSTLU_35596 	oo6384 		oo6384		ABC 	binding 	704 	iron-hydroxamate 		3.A.1 		X
OSTLU_36765 	oo6384 		oo6384		ABC 	binding 	706 	heme 		3.A.1 		X
OSTLU_36892 	oo6384 		oo6384		ABC 	ABCG 	707 	White pigment protein homolog (ABCG) 		3.A.1 		X
OSTLU_38326 	oo6384 		oo6384		ABC 	ABCG 	709 	White pigment protein homolog (ABCG) 		3.A.1 		X
OSTLU_38932 	oo6384 		oo6384		ABC 	ABCG 	710 	White pigment protein homolog (ABCG) 		3.A.1 		X
OSTLU_39403 	oo6384 		oo6384		ABC 	ABCG 	711 	White pigment protein homolog (ABCG) 		3.A.1 		X
OSTLU_40034 	oo6384 		oo6384		ABC 	binding 	712 	daunorubicin 		3.A.1 		X
OSTLU_41114 	oo6384 		oo6384		ABC 	binding protein 	715 	toluene tolerance 		3.A.1 		X
OSTLU_41320 	oo6384 		oo6384		ABC 	binding protein 	716 	phosphate 		3.A.1 		X
OSTLU_42103 	oo6384 		oo6384		ABC 	ABC 	717 	multidrug 		3.A.1 		X
OSTLU_42695 	oo6384 		oo6384		ABC 	binding 	718 	heme 		3.A.1 		X
OSTLU_43066 	oo6384 		oo6384		ABC 	binding 	719 	cobalt 		3.A.1 		X
OSTLU_43520 	oo6384 		oo6384		ABC 	membrane 	1564 	heme export 		3.A.1 		X
OSTLU_43996 	oo6384 		oo6384		ABC 	membrane 	721 	multidrug 	* 	3.A.1 		X
OSTLU_45085 	oo6384 		oo6384		ABC 	binding 	722 	cobalt 		3.A.1 		X
OSTLU_46540 	oo6384 		oo6384		ABC 	binding 	725 	phosphonate 		3.A.1 		X
OSTLU_48483 	oo6384 		oo6384		ABC 	ABCB 	726 	mitochondrial peptide export (ABCB/TAP) 		3.A.1 		X
OSTLU_49454 	oo6384 		oo6384		ABC 	binding 	728 	heme 		3.A.1 		X
OSTLU_49993 	oo6384 		oo6384		ABC 	ABCB 	729 	mitochondrial peptide export (ABCB/TAP) 		3.A.1 		X
OSTLU_50812 	oo6384 		oo6384		ABC 	binding 	730 	lipid A 		3.A.1 		X
OSTLU_6452 	oo6384 		oo6384		ABC 	binding 	732 	cobalt 		3.A.1 		X
OSTLU_6635 	oo6384 		oo6384		ABC 	binding 	733 	cobalt 		3.A.1 		X
OSTLU_88422 	oo6384 		oo6384		ABC 	ABCG 	734 	White pigment protein homolog (ABCG) 		3.A.1 		X
OSTLU_89200 	oo6384 		oo6384		ABC 	ABC 	736 	unknown substrate 		3.A.1 		X
OSTLU_8994 	oo6384 		oo6384		ABC 	binding 	502 	glycine betaine 		3.A.1 		X
OSTLU_94637 	oo6384 		oo6384		ABC 	binding 	738 	heme 		3.A.1 		X
OSTLU_94849 	oo6384 		oo6384		ABC 	ABCG 	739 	White pigment protein homolog (ABCG) 		3.A.1 		X
OSTLU_992 	oo6384 		oo6384		ABC 	ABCG 	740 	White pigment protein homolog (ABCG) 		3.A.1 		X
OSTLU_119396 	oo6384 		oo6384		ACC 		143 	unknown substrate 		1.A.7 		X
OSTLU_119490 	oo6384 		oo6384		ACC 		144 	unknown substrate 		1.A.7 		X
OSTLU_32638 	oo6384 		oo6384		ACC 		146 	unknown substrate 		1.A.7 		X
OSTLU_36876 	oo6384 		oo6384		AE 		462 	chloride/bicarbonate anion exchange 		2.A.31 		X
OSTLU_38528 	oo6384 		oo6384		AE 		463 	chloride/bicarbonate anion exchange 		2.A.31 		X
OSTLU_93051 	oo6384 		oo6384		AEC 		586 	unknown substrate 		2.A.69 		X
OSTLU_95034 	oo6384 		oo6384		AEC 		587 	unknown substrate 		2.A.69 		X
OSTLU_93242 	oo6384 		oo6384		AI-2E 		640 	Autoinducer-2 export 		2.A.86 		X
OSTLU_28535 	oo6384 		oo6384		Amt 		56 	ammonium 		1.A.11 		X
OSTLU_31514 	oo6384 		oo6384		Amt 		57 	ammonium 		1.A.11 		X
OSTLU_32601 	oo6384 		oo6384		Amt 		58 	ammonium 		1.A.11 		X
OSTLU_45928 	oo6384 		oo6384		Amt 		59 	ammonium 		1.A.11 		X
OSTLU_6061 	oo6384 		oo6384		Annexin 		72 	unknown substrate 		1.A.31 		X
OSTLU_43398 	oo6384 		oo6384		APC 		460 	cationic amino acid 		2.A.3 		X
OSTLU_12872 	oo6384 		oo6384		ArsAB 		525 	arsenite (ArsA) 		3.A.4 		X
OSTLU_13038 	oo6384 		oo6384		ArsB 		491 	arsenite (ArsB) 		2.A.45 		X
OSTLU_37402 	oo6384 		oo6384		ATP-E 		1515 	unknown substrate 		9.A.6 		X
OSTLU_12281 	oo6384 		oo6384		BASS 		405 	sodium ion/ 		2.A.28 		X
OSTLU_17829 	oo6384 		oo6384		BASS 		406 	sodium ion/ 		2.A.28 		X
OSTLU_4131 	oo6384 		oo6384		BASS 		409 	sodium ion/ 		2.A.28 		X
OSTLU_1494 	oo6384 		oo6384		BCCT 		344 	glycine betaine/carnitine/choline 		2.A.15 		X
OSTLU_33799 	oo6384 		oo6384		BCCT 		345 	glycine betaine/carnitine/choline 		2.A.15 		X
OSTLU_27908 	oo6384 		oo6384		Bestrophin 		124 	Bestrophin anion channel 		1.A.46 		X
OSTLU_29867 	oo6384 		oo6384		Bestrophin 		125 	Bestrophin anion channel 		1.A.46 		X
OSTLU_33009 	oo6384 		oo6384		Bestrophin 		127 	Bestrophin anion channel 		1.A.46 		X
OSTLU_6486 	oo6384 		oo6384		Bestrophin 		128 	Bestrophin anion channel 		1.A.46 		X
OSTLU_87902 	oo6384 		oo6384		Bestrophin 		129 	Bestrophin anion channel 		1.A.46 		X
OSTLU_1885 	oo6384 		oo6384		CaCA 		392 	sodium ion:calcium ion antiporter 		2.A.19 		X
OSTLU_2890 	oo6384 		oo6384		CaCA 		393 	sodium ion:calcium ion antiporter 		2.A.19 		X
OSTLU_87097 	oo6384 		oo6384		CaCA 		394 	sodium ion:calcium ion+potassium ion antiporter 		2.A.19 		X
OSTLU_94245 	oo6384 		oo6384		CaCA 		395 	sodium ion:calcium ion+potassium ion antiporter 		2.A.19 		X
OSTLU_33926 	oo6384 		oo6384		CDF 		478 	cation efflux 		2.A.4 		X
OSTLU_39741 	oo6384 		oo6384		CDF 		479 	cation efflux 		2.A.4 		X
OSTLU_30720 	oo6384 		oo6384		CEPT 		1126 	unknown substrate 		3.A.9 		X
OSTLU_33348 	oo6384 		oo6384		CEPT 		1130 	unknown substrate 		3.A.9 		X
OSTLU_89366 	oo6384 		oo6384		CHR 		513 	chromate ion 		2.A.51 		X
OSTLU_14344 	oo6384 		oo6384		ClC 		498 	chloride ion channel 		2.A.49 		X
OSTLU_34455 	oo6384 		oo6384		ClC 		499 	chloride ion channel 		2.A.49 		X
OSTLU_37468 	oo6384 		oo6384		ClC 		500 	chloride ion channel 		2.A.49 		X
OSTLU_50496 	oo6384 		oo6384		ClC 		501 	chloride ion channel 		2.A.49 		X
OSTLU_1871 	oo6384 		oo6384		CPA1 		465 	sodium ion:proton antiporter 		2.A.36 		X
OSTLU_2316 	oo6384 		oo6384		CPA1 		466 	sodium ion:proton antiporter 		2.A.36 		X
OSTLU_29184 	oo6384 		oo6384		CPA1 		467 	sodium ion:proton antiporter 		2.A.36 		X
OSTLU_30420 	oo6384 		oo6384		CPA1 		468 	sodium ion:proton antiporter 		2.A.36 		X
OSTLU_119547 	oo6384 		oo6384		CPA2 		470 	potassium/sodium ion:proton antiporter 		2.A.37 		X
OSTLU_40732 	oo6384 		oo6384		CPA2 		469 	potassium/sodium ion:proton antiporter 		2.A.37 		X
OSTLU_43431 	oo6384 		oo6384		CPA2 		472 	potassium/sodium ion:proton antiporter 		2.A.37 		X
OSTLU_51113 	oo6384 		oo6384		CPA2 		473 	potassium/sodium ion:proton antiporter 		2.A.37 		X
OSTLU_33356 	oo6384 		oo6384		CRAC-C 		136 	unknown substrate 		1.A.52 		X
OSTLU_1302 	oo6384 		oo6384		CTL 		646 	unknown substrate 		2.A.92 		X
OSTLU_31321 	oo6384 		oo6384		Ctr 		141 	copper ion uptake 		1.A.56 		X
OSTLU_1343 	oo6384 		oo6384		DASS 		492 	sodium ion:dicarboxylate/sulfate 		2.A.47 		X
OSTLU_28272 	oo6384 		oo6384		DASS 		493 	sodium ion:dicarboxylate/sulfate 		2.A.47 		X
OSTLU_37045 	oo6384 		oo6384		DASS 		494 	sodium ion:dicarboxylate/sulfate 		2.A.47 		X
OSTLU_39202 	oo6384 		oo6384		DASS 		495 	sodium ion:dicarboxylate/sulfate 		2.A.47 		X
OSTLU_49439 	oo6384 		oo6384		DASS 		496 	sodium ion:dicarboxylate/sulfate 		2.A.47 		X
OSTLU_14537 	oo6384 		oo6384		DMT 		588 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_17672 	oo6384 		oo6384		DMT 		590 	drug/metabolite 		2.A.7 		X
OSTLU_18149 	oo6384 		oo6384		DMT 		591 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_18490 	oo6384 		oo6384		DMT 		592 	drug/metabolite 		2.A.7 		X
OSTLU_18795 	oo6384 		oo6384		DMT 		593 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_26318 	oo6384 		oo6384		DMT 		594 	drug/metabolite 		2.A.7 		X
OSTLU_26534 	oo6384 		oo6384		DMT 		595 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_27689 	oo6384 		oo6384		DMT 		596 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_28664 	oo6384 		oo6384		DMT 		597 	drug/metabolite 		2.A.7 		X
OSTLU_29277 	oo6384 		oo6384		DMT 		598 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_29288 	oo6384 		oo6384		DMT 		599 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_29480 	oo6384 		oo6384		DMT 		600 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_30361 	oo6384 		oo6384		DMT 		601 	drug/metabolite 		2.A.7 		X
OSTLU_31360 	oo6384 		oo6384		DMT 		602 	drug/metabolite 		2.A.7 		X
OSTLU_32216 	oo6384 		oo6384		DMT 		603 	drug/metabolite 		2.A.7 		X
OSTLU_32754 	oo6384 		oo6384		DMT 		604 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_33748 	oo6384 		oo6384		DMT 		606 	nucleotide-sugar 		2.A.7 		X
OSTLU_33750 	oo6384 		oo6384		DMT 		607 	phosphate/phosphoenolpyruvate 		2.A.7 		X
OSTLU_34640 	oo6384 		oo6384		DMT 		608 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_34716 	oo6384 		oo6384		DMT 		609 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_36385 	oo6384 		oo6384		DMT 		610 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_37524 	oo6384 		oo6384		DMT 		611 	drug/metabolite 		2.A.7 		X
OSTLU_41111 	oo6384 		oo6384		DMT 		612 	drug/metabolite 		2.A.7 		X
OSTLU_42112 	oo6384 		oo6384		DMT 		613 	phosphate/phosphoenolpyruvate 		2.A.7 		X
OSTLU_43912 	oo6384 		oo6384		DMT 		614 	drug/metabolite 		2.A.7 		X
OSTLU_45749 	oo6384 		oo6384		DMT 		615 	drug/metabolite 		2.A.7 		X
OSTLU_4751 	oo6384 		oo6384		DMT 		616 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_4844 	oo6384 		oo6384		DMT 		617 	drug/metabolite 		2.A.7 		X
OSTLU_4851 	oo6384 		oo6384		DMT 		618 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_49558 	oo6384 		oo6384		DMT 		619 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_49715 	oo6384 		oo6384		DMT 		620 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_5022 	oo6384 		oo6384		DMT 		621 	drug/metabolite 		2.A.7 		X
OSTLU_50402 	oo6384 		oo6384		DMT 		622 	nucleotide-sugar 		2.A.7 		X
OSTLU_5074 	oo6384 		oo6384		DMT 		623 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_51835 	oo6384 		oo6384		DMT 		624 	nucleotide-sugar 		2.A.7 		X
OSTLU_5328 	oo6384 		oo6384		DMT 		625 	drug/metabolite 		2.A.7 		X
OSTLU_5957 	oo6384 		oo6384		DMT 		626 	phosphate/phosphoenolpyruvate 		2.A.7 		X
OSTLU_87077 	oo6384 		oo6384		DMT 		627 	phosphate:phosphoenolpyruvate translocator 		2.A.7 		X
OSTLU_87739 	oo6384 		oo6384		DMT 		628 	drug/metabolite 		2.A.7 		X
OSTLU_88914 	oo6384 		oo6384		DMT 		629 	drug/metabolite 		2.A.7 		X
OSTLU_92750 	oo6384 		oo6384		DMT 		630 	drug/metabolite 		2.A.7 		X
OSTLU_27151 	oo6384 		oo6384		ENT 		523 	nucleoside 		2.A.57 		X
OSTLU_29758 	oo6384 		oo6384		ENT 		524 	nucleoside 		2.A.57 		X
OSTLU_119494 	oo6384 		oo6384		F-ATPase 		868 	protons 		3.A.2 		X
OSTLU_119546 	oo6384 		oo6384		F-ATPase 		869 	protons 		3.A.2 		X
OSTLU_119590 	oo6384 		oo6384		F-ATPase 		870 	protons 		3.A.2 		X
OSTLU_13609 	oo6384 		oo6384		F-ATPase 		871 	protons 		3.A.2 		X
OSTLU_13768 	oo6384 		oo6384		F-ATPase 		872 	protons 		3.A.2 		X
OSTLU_14631 	oo6384 		oo6384		F-ATPase 		873 	protons 		3.A.2 		X
OSTLU_15055 	oo6384 		oo6384		F-ATPase 		874 	protons 		3.A.2 		X
OSTLU_24766 	oo6384 		oo6384		F-ATPase 		875 	protons 		3.A.2 		X
OSTLU_29009 	oo6384 		oo6384		F-ATPase 		876 	protons 		3.A.2 		X
OSTLU_30441 	oo6384 		oo6384		F-ATPase 		877 	protons 		3.A.2 		X
OSTLU_31663 	oo6384 		oo6384		F-ATPase 		879 	protons 		3.A.2 		X
OSTLU_32540 	oo6384 		oo6384		F-ATPase 		880 	protons 		3.A.2 		X
OSTLU_32630 	oo6384 		oo6384		F-ATPase 		881 	protons 		3.A.2 		X
OSTLU_32674 	oo6384 		oo6384		F-ATPase 		882 	protons 		3.A.2 		X
OSTLU_35127 	oo6384 		oo6384		F-ATPase 		883 	protons 		3.A.2 		X
OSTLU_35397 	oo6384 		oo6384		F-ATPase 		884 	protons 		3.A.2 		X
OSTLU_37691 	oo6384 		oo6384		F-ATPase 		991 	protons 		3.A.2 		X
OSTLU_46292 	oo6384 		oo6384		F-ATPase 		886 	protons 		3.A.2 		X
OSTLU_50597 	oo6384 		oo6384		F-ATPase 		887 	protons 		3.A.2 		X
OSTLU_7408 	oo6384 		oo6384		F-ATPase 		888 	protons 		3.A.2 		X
OSTLU_87859 	oo6384 		oo6384		F-ATPase 		889 	protons 		3.A.2 		X
OSTLU_88387 	oo6384 		oo6384		F-ATPase 		890 	protons 		3.A.2 		X
OSTLU_88668 	oo6384 		oo6384		F-ATPase 		891 	protons 		3.A.2 		X
OSTLU_12682 	oo6384 		oo6384		FBT 		631 	sugar 		2.A.71 		X
