reference	rast_only	refseq_only	transyt_only	rast_and_refseq	rast_and_transyt	refseq_and_transyt	all_combined	lineage
GCF_000473245.1	0	66	31	306	8	12	182	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus infantis NRRL B-14911
GCF_000981505.1	0	22	12	76	3	6	27	Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales, Methylophilaceae, Candidatus Methylopumilus planktonicus
GCF_000023945.1	0	43	5	144	0	4	26	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Haloarculaceae, Halorhabdus, Halorhabdus utahensis DSM 12940
GCF_000513295.1	0	0	30	0	128	0	0	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Magnetospirillum, Magnetospirillum gryphiswaldense, Magnetospirillum gryphiswaldense MSR-1 v2
GCF_000725365.1	0	70	17	258	7	15	188	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Terribacillus aidingensis
GCF_000012565.1	0	11	3	49	2	1	19	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Ehrlichia, canis group, Ehrlichia canis str. Jake
GCF_000022125.1	0	45	24	177	7	2	61	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio, Desulfovibrio desulfuricans ATCC 27774
GCF_000190595.1	0	92	12	178	3	6	54	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Cellulophaga, Cellulophaga lytica DSM 7489
GCF_000247565.1	0	9	3	21	4	4	17	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Erwiniaceae, Wigglesworthia, Wigglesworthia glossinidia endosymbiont of Glossina morsitans
GCF_000970265.1	0	37	17	156	2	1	62	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanosarcinales, Methanosarcinaceae, Methanosarcina, Methanosarcina lacustris Z-7289
GCF_001021385.1	0	115	20	295	5	9	106	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, Mycobacterium sp. EPa45
GCF_000993805.1	0	43	1	115	1	2	9	Archaea, TACK group, Crenarchaeota, Thermoprotei, Thermoproteales, Thermofilaceae, Thermofilum uzonense
GCF_000612685.1	0	89	21	385	7	16	151	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Castellaniella, Castellaniella defragrans 65Phen
GCF_000009865.1	0	32	7	157	6	10	119	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Staphylococcus haemolyticus JCSC1435
GCF_000069025.1	0	43	16	145	0	7	31	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Halobacteriaceae, Halobacterium, Halobacterium salinarum R1
GCF_000196355.1	0	40	18	190	6	8	63	Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales, Nitrosomonadaceae, Nitrosospira, Nitrosospira multiformis ATCC 25196
GCF_000026065.1	0	19	7	88	10	8	109	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus sakei, Lactobacillus sakei subsp. sakei 23K
GCF_000294775.2	0	68	31	369	14	17	221	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus oceanisediminis 2691
GCF_001458475.1	0	28	16	112	8	4	63	Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Kingella kingae
GCF_000063505.1	0	29	7	125	4	1	55	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Synechococcaceae, Synechococcus, Synechococcus sp. WH 7803
GCF_000006765.1	0	35	51	330	54	10	301	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas aeruginosa group, Pseudomonas aeruginosa PAO1
GCF_000400955.1	0	20	1	71	2	1	15	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma, Spiroplasma syrphidicola EA-1
GCF_000218895.1	0	122	14	289	3	9	93	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Runella, Runella slithyformis DSM 19594
GCF_000010065.1	0	33	10	123	7	6	80	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Synechococcaceae, Synechococcus, Synechococcus elongatus PCC 6301
