PA0030 	pp6382 		pp6382		ABC 	binding 	654 	choline 		3.A.1 		X
PA0072 	pp6382 		pp6382		ABC 	membrane 	655 	lipoprotein releasing 		3.A.1 		X
PA0073 	pp6382 		pp6382		ABC 	binding 	656 	lipoprotein 		3.A.1 		X
PA0136 	pp6382 		pp6382		ABC 	ABC 	657 	sugar 		3.A.1 		X
PA0137 	pp6382 		pp6382		ABC 	membrane 	658 	sugar 		3.A.1 		X
PA0138 	pp6382 		pp6382		ABC 	membrane 	659 	sugar 		3.A.1 		X
PA0146 	pp6382 		pp6382		ABC 	binding protein 	660 	sugar 		3.A.1 		X
PA0184 	pp6382 		pp6382		ABC 	binding 	663 	nitrate 		3.A.1 		X
PA0185 	pp6382 		pp6382		ABC 	membrane 	664 	nitrate/sulfonate/taurine 		3.A.1 		X
PA0186 	pp6382 		pp6382		ABC 	binding protein 	665 	nitrate/sulfonate/taurine 		3.A.1 		X
PA0203 	pp6382 		pp6382		ABC 	binding protein 	666 	spermidine/putrescine 		3.A.1 		X
PA0204 	pp6382 		pp6382		ABC 	membrane 	667 	spermidine/putrescine 		3.A.1 		X
PA0205 	pp6382 		pp6382		ABC 	membrane 	668 	spermidine/putrescine 		3.A.1 		X
PA0206 	pp6382 		pp6382		ABC 	binding 	669 	polyamine 		3.A.1 		X
PA0222 	pp6382 		pp6382		ABC 	binding protein 	670 	spermidine/putrescine 		3.A.1 		X
PA0280 	pp6382 		pp6382		ABC 	binding 	672 	sulfate 		3.A.1 		X
PA0281 	pp6382 		pp6382		ABC 	membrane 	673 	sulfate 		3.A.1 		X
PA0282 	pp6382 		pp6382		ABC 	membrane 	674 	sulfate 		3.A.1 		X
PA0283 	pp6382 		pp6382		ABC 	binding 	675 	sulfate/thiosulfate 		3.A.1 		X
PA0295 	pp6382 		pp6382		ABC 	binding protein 	677 	spermidine/putrescine 		3.A.1 		X
PA0300 	pp6382 		pp6382		ABC 	binding protein 	678 	spermidine/putrescine 		3.A.1 		X
PA0301 	pp6382 		pp6382		ABC 	binding protein 	679 	spermidine/putrescine 		3.A.1 		X
PA0302 	pp6382 		pp6382		ABC 	binding 	680 	polyamine 		3.A.1 		X
PA0303 	pp6382 		pp6382		ABC 	membrane 	681 	spermidine/putrescine 		3.A.1 		X
PA0304 	pp6382 		pp6382		ABC 	membrane 	682 	spermidine/putrescine 		3.A.1 		X
PA0313 	pp6382 		pp6382		ABC 	membrane 	683 	amino aicd (glutamine/glutamate/aspartate) 		3.A.1 		X
PA0314 	pp6382 		pp6382		ABC 	binding protein 	684 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA0323 	pp6382 		pp6382		ABC 	binding protein 	685 	spermidine/putrescine 		3.A.1 		X
PA0324 	pp6382 		pp6382		ABC 	membrane 	686 	spermidine/putrescine 		3.A.1 		X
PA0325 	pp6382 		pp6382		ABC 	membrane 	687 	spermidine/putrescine 		3.A.1 		X
PA0326 	pp6382 		pp6382		ABC 	binding 	688 	polyamine 		3.A.1 		X
PA0374 	pp6382 		pp6382		ABC 	binding 	689 	lipoprotein 		3.A.1 		X
PA0375 	pp6382 		pp6382		ABC 	membrane 	690 	cell division 		3.A.1 		X
PA0451a 	pp6382 		pp6382		ABC 	binding protein 	693 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA0600 	pp6382 		pp6382		ABC 	binding protein 	697 	unknown substrate 		3.A.1 		X
PA0602 	pp6382 		pp6382		ABC 	binding protein 	698 	spermidine/putrescine 		3.A.1 		X
PA0603 	pp6382 		pp6382		ABC 	binding 	699 	polyamine 		3.A.1 		X
PA0604 	pp6382 		pp6382		ABC 	binding protein 	700 	spermidine/putrescine 		3.A.1 		X
PA0605 	pp6382 		pp6382		ABC 	membrane 	701 	spermidine/putrescine 		3.A.1 		X
PA0606 	pp6382 		pp6382		ABC 	membrane 	702 	spermidine/putrescine 		3.A.1 		X
PA0716 	pp6382 		pp6382		ABC 	binding 	705 	phosphonate 		3.A.1 		X
