YBL089W 	ss6383 		ss6383		AAAP 		296 	amino acid 		2.A.18 		X
YEL064C 	ss6383 		ss6383		AAAP 		297 	amino acid 		2.A.18 		X
YER119C 	ss6383 		ss6383		AAAP 		298 	amino acid 		2.A.18 		X
YIL088C 	ss6383 		ss6383		AAAP 		299 	amino acid 		2.A.18 		X
YJR001W 	ss6383 		ss6383		AAAP 		300 	amino acid 		2.A.18 		X
YKL146W 	ss6383 		ss6383		AAAP 		301 	amino acid 		2.A.18 		X
YNL101W 	ss6383 		ss6383		AAAP 		302 	amino acid 		2.A.18 		X
YCR011C 	ss6383 		ss6383		ABC 	ABCG 	503 	White pigment protein homolog (ABCG) 		3.A.1 		X
YDR011W 	ss6383 		ss6383		ABC 		505 	multidrug (ABCG/PDR-type) 		3.A.1 		X
YDR061W 	ss6383 		ss6383		ABC 	binding 	506 	daunorubicin 		3.A.1 		X
YDR107C 	ss6383 		ss6383		ABC 	membrane 	1150 	sodium ion efflux 		3.A.1 		X
YDR135C 	ss6383 		ss6383		ABC 	membrane 	509 	multidrug 	* 	3.A.1 		X
YDR406W 	ss6383 		ss6383		ABC 		510 	multidrug (ABCG/PDR-type) 		3.A.1 		X
YER036C 	ss6383 		ss6383		ABC 	binding 	512 	cobalt 		3.A.1 		X
YFL028C 	ss6383 		ss6383		ABC 	ABC 	514 	multidrug 		3.A.1 		X
YFL034W 	ss6383 		ss6383		ABC 	membrane 	515 	toluene tolerance 		3.A.1 		X
YGR281W 	ss6383 		ss6383		ABC 	membrane 	520 	multidrug 	* 	3.A.1 		X
YHL035C 	ss6383 		ss6383		ABC 	membrane 	521 	multidrug 	* 	3.A.1 		X
YIL013C 	ss6383 		ss6383		ABC 		524 	multidrug (ABCG/PDR-type) 		3.A.1 		X
YKL188C 	ss6383 		ss6383		ABC 	membrane 	527 	multidrug 	* 	3.A.1 		X
YKL209C 	ss6383 		ss6383		ABC 	binding 	528 	lipid A 		3.A.1 		X
